date,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Response Variable
1/31/2000,2.53,595140,285,62.75,-0.241889,109.2,93.2,78.7,458.7,295.2,477,119,19.31032,1394.46,7.4,115.2332,24.95,27.6,1187
2/29/2000,2.85,588665,280,37.875,-0.23214,118,97.4,87.2,488.5,326.5,497,124.9,20.22921,1366.42,-11.2,116.6821,23.37,30.4,1149.1
3/31/2000,2.27,579454,266,44,-0.126672,141.2,115.3,99,588.3,395.4,586.4,149.5,19.65946,1498.58,-47.5,116.673,24.11,26.9,1268.3
5/31/2000,2.43,594896,280,59.25,-0.032955,154.8,129.6,98,613.3,440.6,606.1,168,23.82197,1420.6,-40,119.9301,23.65,29,1124.9
6/30/2000,2.46,589559,281,23.938,-0.024195,151.4,128.4,94.7,606.7,420,605.8,161.1,25.80684,1454.6,-33.1,118.7033,19.54,32.5,1194.5
7/31/2000,2.25,584640,298,18.188,-0.176974,150.2,127.7,95,574.7,388.6,589.8,161.6,23.20809,1430.83,-25.7,119.0338,20.74,27.4,1225.5
8/31/2000,2.28,582759,312,18,-0.253747,152.9,128,96.4,601.8,377.7,609.5,166.2,22.49129,1517.68,-43.8,119.8199,16.84,33.1,1244.6
10/31/2000,2.31,582454,301,25,-0.215154,164.7,132.7,99.5,761.8,419.7,718.5,182,23.52107,1429.4,-16.3,123.0204,23.63,32.7,1456.3
11/30/2000,2.56,597282,356,20.5,-0.194671,181.2,144.3,102.4,927,436.1,817.9,200.4,25.73055,1314.95,-14.5,123.97,29.65,33.8,1646.1
1/31/2001,2.61,596072,362,-55.875,-0.238144,163.4,116.4,83.9,750,402.9,718.2,175.1,33.22178,1366.01,54.2,122.8517,22.02,28.7,1636
2/28/2001,2.62,601086,386,-43.75,-0.307747,165.1,116.7,81.8,693.2,406.9,682.6,176.9,23.69061,1239.94,50.6,123.541,28.35,27.4,1458
4/30/2001,2.49,603250,406,-46.375,-0.315512,151.7,109,83.2,753.3,373.9,685.1,166.9,21.5318,1249.46,106.2,126.5339,25.48,28.5,1429.3
5/31/2001,2.4,632094,405,-22,-0.446364,143.7,104.8,77.7,697.2,364.2,665.6,156.5,22.69671,1255.82,119.3,126.3929,22.64,28.4,1506.2
7/31/2001,2.35,630973,388,-10,-0.54264,141.8,101.8,78.5,757.5,402.1,708.5,154,23.3959,1211.23,125.7,127.6702,21.62,26.4,1679.5
8/31/2001,2.33,625160,402,-18.75,-0.461906,142.8,100.5,78.9,732.3,404.9,717.3,155.6,21.60826,1133.58,120.3,125.5711,24.92,27.2,1842.6
10/31/2001,2.59,649682,483,-29,-0.34121,185.9,121.5,90.5,887.6,550.1,871,200.6,25.71149,1059.78,180.9,126.7673,33.56,21.2,2161.8
11/30/2001,2.75,648787,465,-5.812,-0.352369,162.7,105.4,79.4,761,446.2,761.7,180,24.28777,1139.45,191.1,127.2869,23.84,19.4,1779.5
12/31/2001,2.7,662945,421,6.125,-0.254217,163.6,99.5,82.4,691.2,440.9,736.3,178.1,19.98292,1148.08,202.5,127.364,23.8,19.8,1689.3
1/31/2002,2.93,657669,414,15,-0.445164,160.5,93.5,75.3,636.8,433.9,705.2,173,20.05767,1130.2,187.4,128.9497,21.09,19.5,1755.6
2/28/2002,2.87,658103,398,16,-0.469956,166.6,88.3,75.8,662.1,460.6,731.5,180.9,20.11144,1106.73,181.6,129.6882,21.59,21.7,1817.1
4/30/2002,3.25,663457,414,17,-0.594338,183.9,93.4,83.6,584.4,392.6,626.2,190.8,19.25236,1076.92,186.3,128.5672,21.91,27.3,1456.6
5/31/2002,3,697225,378,14.625,-0.649155,137.1,83,84.4,630.9,408.2,628.9,178.2,15.01696,1067.14,184.8,127.0078,19.98,25.3,1519.8
7/31/2002,3.41,680546,390,9.375,-0.381271,184.3,120.9,111.5,874.1,660.6,885.8,237.3,22.87013,911.62,222.3,123.8086,32.03,27,1886.4
9/30/2002,3.38,681578,409,4,-0.265673,206.9,121.2,119.4,1045.7,686.6,1000.9,239.9,26.51991,815.28,190.9,126.1598,39.69,30.4,1888.6
10/31/2002,3.36,692547,409,-6.375,-0.321283,230.7,117.6,122.8,1011.6,681.7,1003.5,253,27.71875,885.76,222,127.067,31.14,27.2,1791.5
12/31/2002,3.27,733136,409,14,-0.362918,167.9,92.5,105.1,878.5,588.7,860.1,187.3,23.99553,879.82,221.4,125.1346,28.62,31.2,1564.7
1/31/2003,3.53,714316,413,11,-0.460619,150.7,80.6,95,803.9,538.1,781.6,169.1,23.16789,855.7,227.1,123.5893,31.17,33.5,1362.5
2/28/2003,3.79,723222,436,8,-0.465222,148.2,78.8,94.5,777.2,564.2,800,165.8,20.03791,841.15,218,123.4354,29.63,36.6,1361.3
3/31/2003,3.75,726250,436,2.875,-0.496242,151.3,76.5,79.4,706.8,489.7,730.3,160.9,19.46268,848.18,231.2,122.9623,29.15,31,1186.2
4/30/2003,3.7,747460,444,5,-0.677932,121.5,65.8,69.1,601,403.5,613.3,133.7,17.71132,916.92,235.2,121.9868,21.21,25.8,957.8
6/30/2003,3.79,745266,429,-10.375,-0.67123,114.5,60.3,67.3,592.6,384.2,588.4,123.3,11.14622,974.5,221.1,117.3739,19.52,30.2,882.6
7/31/2003,3.81,741559,398,10.438,-0.670438,107.1,67.7,71.7,534.2,341,525.8,118.7,8.36062,990.31,266.4,118.5844,19.49,30.5,873.6
9/30/2003,3.96,742314,387,15,-0.622139,101.2,64,69.3,530,346.1,516.8,113.2,8.57951,995.97,247.7,118.5507,22.72,29.2,834.6
10/31/2003,4.15,748784,363,15.938,-0.689087,70.9,47,59.9,413.3,284.1,444.2,102.7,6.97259,1050.71,247.3,116.2083,16.1,29.1,721.6
3/31/2004,4.34,761743,340,11,-0.806582,69.4,47.3,57.3,394.9,224.1,406.5,96.5,3.66974,1126.21,226.1,114.2572,16.74,35.8,702.4
4/30/2004,4.4,774058,324,18,-0.748073,67.5,45.4,54.2,342,197.4,361.2,91.2,4.07108,1107.3,218.8,115.067,17.19,37.4,628
5/31/2004,4.32,771892,337,31.5,-0.719011,73.6,51.1,58.7,378.7,231.9,398,98.1,4.57635,1120.68,211.3,116.9377,15.5,39.9,680.5
6/30/2004,4.39,780361,348,58,-0.715549,75.6,51.8,59.6,362.7,223.9,380.6,99.4,5.15108,1140.84,190.2,115.8277,14.34,37,642.2
8/31/2004,4.75,776216,352,37,-0.706617,72.5,50.6,55.9,367,234.2,387.1,93.9,5.06691,1104.24,172.4,115.1841,15.29,42.1,681.8
9/30/2004,4.78,787410,351,41,-0.722674,69.6,47.4,54.1,336.4,213.9,362,89.7,4.94626,1114.58,151.2,114.712,13.34,49.6,618.8
11/30/2004,4.91,810970,335,48,-0.730966,63.8,44.5,51.4,274.9,175,298,84,4.32395,1173.82,135,110.2266,13.24,49.1,498.6
12/31/2004,4.66,811962,356,40.438,-0.744981,60.7,42.6,49.5,265.3,176.7,285.5,80.4,3.70212,1211.92,115.1,109.0097,13.29,43.5,474.3
1/31/2005,4.58,808012,331,47,-0.711704,60.2,43.7,49.7,283.6,183,301.4,81.1,2.56358,1181.27,85.4,109.5752,12.82,48.2,492.5
2/28/2005,4.6,805727,314,42,-0.74447,56.7,41,48.1,229.5,148.9,253.7,76.4,3.91905,1203.6,77.9,109.7872,12.08,51.8,434.7
3/31/2005,4.6,808487,342,49,-0.749458,66.4,49.8,56.1,304.2,207.8,323.8,92.4,2.73809,1180.59,70.4,109.1907,14.02,55.4,517.3
5/31/2005,4.64,810921,340,33.75,-0.613239,72.5,53,59,348,231.6,371.4,103.8,5.78352,1191.5,40.5,110.5925,13.29,52,643.8
6/30/2005,4.89,810968,311,47.625,-0.646822,71,50.1,57.4,329.5,263,352.6,84,6.18531,1191.33,27.8,111.6753,12.04,56.5,573.2
8/31/2005,4.73,824574,318,37,-0.625353,71.7,58,56.2,304.9,247.1,338.4,88.7,4.23488,1220.33,20.1,110.681,12.6,68.9,615.8
9/30/2005,4.79,824750,384,44.5,-0.597927,72.4,58,53.1,301.1,254.7,338.2,87.3,4.54618,1228.81,15.7,110.5886,11.92,66.2,632.8
10/31/2005,4.74,820062,322,48,-0.6091,76.7,61.3,55.7,302.6,258.9,340.4,92.2,5.56684,1207.01,17.5,111.6309,15.32,59.8,631.2
11/30/2005,4.83,836054,311,42,-0.621922,76.9,61.8,56.2,289.2,269.3,339.7,93.8,6.14913,1249.48,7.5,112.4064,12.06,57.3,641.4
1/31/2006,4.95,830100,282,39,-0.637376,78.8,61.7,54.6,298.1,245.8,318.9,86.9,5.93,1280.08,-0.3,110.1633,12.95,67.9,549.3
2/28/2006,4.88,842380,293,33.25,-0.663278,74.7,58.6,53.2,286.3,253.8,315.8,83.1,5.11585,1280.66,-12.6,110.4101,12.34,61.4,525.6
3/31/2006,4.78,834635,291,41,-0.700808,79.6,62.7,55.2,266.7,237.1,296.7,86.5,5.70258,1294.83,2.9,110.575,11.39,66.6,491.8
5/31/2006,4.59,853554,330,29.813,-0.650583,81.5,64,56.9,267.9,241.2,294.2,88.8,4.97745,1270.09,8.4,107.5585,16.44,71.3,457.7
6/30/2006,4.64,845679,316,49.063,-0.594017,86.1,67.4,60,291.7,252.6,313.5,93.3,4.49152,1270.2,-1.6,108.8334,13.08,73.9,490.9
7/31/2006,4.52,842511,311,22.563,-0.615781,87.2,65.7,59.3,310.7,258.5,327.3,94.3,3.78644,1276.66,2.7,108.5632,14.95,74.4,537.1
8/31/2006,4.45,852299,314,14.75,-0.658207,85.1,64.3,55.8,321.1,242.8,329,93.4,4.73303,1303.82,-5.2,107.844,12.31,70.3,546.1
10/31/2006,4.39,853681,328,12.063,-0.699054,83,62.6,56.6,309.1,213.8,310.4,92,4.02805,1377.94,-9.7,108.3838,11.1,58.7,510
11/30/2006,4.48,857498,349,12,-0.704437,80.1,58.8,54.5,298.8,206.7,301.6,88.3,3.08926,1400.63,-15.3,107.498,10.91,63.1,502
1/31/2007,4.4,866559,308,11,-0.754779,78.1,57.8,51.6,247.2,175.9,254.4,84.7,2.49971,1438.24,-11.1,107.6971,10.42,58.1,414.9
2/28/2007,4.33,878205,322,8.813,-0.751132,77.4,58.4,51.8,255.1,185.1,262,83.8,1.42491,1406.82,-7.8,107.3298,15.42,61.8,414.7
4/30/2007,4.26,880456,301,10.5,-0.674028,86,66.3,55.9,250.8,185.6,258.2,90.9,2.05124,1482.37,2.9,105.4372,14.22,65.7,401
5/31/2007,4.31,878220,310,11,-0.657643,85.5,66.5,56.9,222.3,163.8,232.2,89.7,1.86307,1530.62,-2.2,104.5442,13.05,64,369.4
7/31/2007,4.31,864700,305,9.866,-0.343232,116.1,99.1,79,394.4,304.5,406.7,124.4,2.12947,1455.27,21.9,102.9463,23.52,78.2,604.5
8/31/2007,4.3,873589,314,60.125,0.250886,141.5,120.9,94.5,411.8,319.8,427.5,148.3,5.4421,1473.99,39.5,103.523,23.38,74,645.9
10/31/2007,4.55,884044,328,13.375,-0.001484,134.3,121,89.7,388.1,321.5,412.2,142.1,4.99513,1549.38,52.4,100.0667,18.53,94.5,617.3
11/30/2007,4.59,879893,344,64.125,0.536417,185.3,165.3,119.4,522,424.2,542.6,193,5.5696,1481.14,94.1,98.653,22.87,88.7,765.5
12/31/2007,4.7,891158,360,46.25,0.603135,191.4,163.1,124.8,523.9,440.2,558.1,196.1,9.07662,1468.36,97.4,99.4776,22.5,96,800.8
1/31/2008,4.49,900810,366,-82.812,0.390398,222.6,177.9,144.3,624.5,516.9,658.5,225.3,9.2577,1378.55,149.8,98.6456,26.2,91.8,959.8
2/29/2008,4.68,894294,345,7.75,0.673272,239.7,194.7,158.3,707.2,567.2,735.7,247.1,11.90365,1330.63,189.1,97.828,26.54,101.8,1057.3
3/31/2008,4.68,894437,387,7.813,0.903518,286.3,233.1,174,803.7,511,772.5,287.8,16.02662,1322.7,182.5,95.9081,25.61,101.6,1087.3
4/30/2008,4.63,888721,370,57,0.626098,239,200.6,160.9,661,429.1,645,245.7,19.75516,1385.59,147.2,95.5365,20.79,113.5,963.8
6/30/2008,4.75,893196,392,78.313,0.692062,265.2,231.9,171.2,729,478.6,708.4,264.1,11.5169,1280,135.1,96.075,23.95,140,994.5
7/31/2008,4.78,919115,434,78.125,0.695855,293,253.5,168.9,768.4,507,750.6,288.4,16.51331,1267.38,143.6,95.37,22.94,124.1,1078.8
9/30/2008,4.74,1212299,483,224.25,1.97105,470.4,418.7,388.8,1063.4,648.3,1008.1,437.3,19.21467,1166.36,186.1,100.3046,39.39,100.6,1464
10/31/2008,4.96,1969444,490,205.625,2.8149,591.7,463.6,409.9,1489.8,1018.1,1461.1,579.9,30.04008,968.75,240.3,106.9588,59.89,67.8,2112.1
12/31/2008,4.81,2239854,533,126.5,2.430247,524.8,411.2,327.8,1569.1,1196.8,1637.1,555.2,73.68541,903.25,144.6,108.4924,40,44.6,2680.2
3/31/2009,4.44,2071847,665,101.188,1.506479,495.3,417.1,435,1359.7,1016.2,1473.1,549.8,50.96096,797.87,186.5,112.342,44.14,49.7,2262.3
4/30/2009,0.7,2067131,620,86.625,1.095074,411.3,308.3,186.3,1103,836.4,1210.3,447.8,53.20367,872.81,221.8,109.5536,36.5,51.1,1799.9
6/30/2009,0.6,2025828,594,38.5,0.660327,281.1,206.9,93.9,856.9,762.8,941,306.5,31.81028,919.32,242.2,105.0395,26.35,69.9,1201.2
7/31/2009,0.59,2000966,555,31.938,0.336126,219.3,153.1,76.2,742.3,691.3,825.6,246.5,27.91644,987.48,236.6,104.6451,25.92,69.5,1119.9
8/31/2009,0.58,2075243,564,18.75,0.19037,208.5,145.9,77,757.6,638.8,838.9,232.6,20.33886,1020.62,242.7,103.3931,26.01,70,1088.9
9/30/2009,0.6,2141302,554,13.688,0.09559,196.8,140.9,73.8,684.1,555.4,741.4,218.5,19.76926,1057.08,235.8,102.6134,25.61,70.6,930.3
11/30/2009,0.59,2206591,475,13.656,-0.026428,190,130.7,80.5,687.4,555.9,725.9,206.4,12.73811,1095.63,253.3,100.6685,24.51,77.3,953.2
12/31/2009,0.61,2234309,468,13.063,-0.098839,157.3,108.9,61.7,568.3,456.2,613.3,170.8,11.30285,1115.1,270,101.1181,21.68,79.4,848.4
3/31/2010,0.6,2307201,459,13.15,-0.447175,143,96.6,55.1,542.3,416.2,569.6,150.8,8.74995,1169.43,280.8,102.0231,17.59,83.8,811.6
4/30/2010,0.6,2330517,451,14.656,-0.365041,136.9,88.2,48.9,518.5,402.1,539.8,142.8,5.27104,1186.69,269.1,101.5118,22.05,86.2,757.3
5/31/2010,0.61,2334081,458,33.625,-0.058561,176,131.6,56.3,634.8,517.5,670.2,185.5,3.65367,1089.41,251.7,104.3117,32.07,74,932.9
6/30/2010,0.61,2330901,464,35.394,-0.153182,178.6,142.3,67.2,667.3,526.9,689.2,192.8,7.53494,1030.71,232.8,104.8769,34.54,75.6,971.2
8/31/2010,0.88,2301100,467,10.563,-0.25777,170.6,121.6,68.4,650,506.7,675.1,184.2,5.02276,1049.33,199.7,102.4484,26.05,71.9,992.4
9/30/2010,0.91,2298781,459,10,-0.355857,159.9,115.7,71.9,587.7,455.4,614.2,174,6.51536,1141.2,208.6,101.4488,23.7,80,934.6
11/30/2010,1.05,2346097,432,11.031,-0.366678,159.8,118.4,70.9,574.4,456.3,598.4,170.1,3.10872,1180.55,234.2,99.1006,23.54,84.1,884.7
12/31/2010,0.97,2420674,413,12.281,-0.437854,144.1,105.3,56.1,491.6,396.3,516.4,155.2,3.5845,1257.64,269.8,99.7504,17.75,91.4,766.4
1/31/2011,0.9,2443637,420,13.438,-0.475013,137.5,104.6,60.6,464.9,368.3,484.2,148.3,2.91298,1286.12,280.6,98.5989,19.53,92.2,712.6
2/28/2011,0.98,2533359,385,14.95,-0.464615,125,96.6,58.2,437.3,343.8,454.6,138.3,2.35558,1327.22,274.5,97.8532,18.35,97,679.6
3/31/2011,1.06,2622616,399,16.3,-0.486447,128.7,101.4,50.6,444.6,341.5,460.7,140.8,2.00128,1325.83,264.7,96.9218,17.74,106.7,689
5/31/2011,1.04,2775137,418,16.288,-0.460142,133.9,106.9,64.7,481.4,361,486.5,146.1,1.84035,1345.2,259.2,95.2789,15.45,102.7,728.7
6/30/2011,1.2,2865408,421,15.575,-0.472209,141.6,114.8,69.7,518.6,386.7,515.3,153.6,1.49705,1320.64,270.1,95.2537,16.52,95.4,762.1
8/31/2011,1.24,2854000,409,22.722,0.035924,197.1,162.8,81.9,690.1,526.7,697.3,207.4,1.90822,1218.89,202.3,95.138,31.62,88.8,1057.3
9/30/2011,1.24,2851028,405,29.433,0.038588,225.5,184.7,90.2,775.6,607.4,795.8,237.2,3.58593,1131.42,167.1,97.9794,42.96,79.2,1171.8
10/31/2011,1.17,2845777,399,35.944,0.00995,185.7,154.9,70.4,644.3,492,660.2,199.8,10.44737,1253.3,187.4,98.8877,29.96,93.2,957.4
11/30/2011,1.19,2814313,397,44.889,0.08001,234.1,187.6,92,717.7,532.8,724.2,243.3,5.30038,1246.96,181.3,99.5205,27.8,100.4,1090.1
1/31/2012,0.98,2919667,372,46.235,-0.274776,184.4,137.1,59.4,622.6,472.2,637.1,203.9,6.74732,1312.41,158.1,99.8207,19.44,98.5,951.1
2/29/2012,0.96,2925788,365,38.425,-0.351174,164.6,118.2,53.2,566.5,416.2,573.2,180.7,4.98397,1365.68,167.7,98.0948,18.43,107.1,859.4
4/30/2012,0.94,2866675,372,32.585,-0.415993,164.6,124.5,59,566.5,422.5,570.7,184.3,3.76835,1397.91,165.6,99.0143,17.15,104.9,876.7
5/31/2012,0.96,2842777,381,30.685,-0.287909,188.2,136.5,68.3,648.8,476.7,645.4,207.5,3.25312,1310.33,129.5,100.7322,24.06,86.5,1015.2
7/31/2012,0.9,2846805,372,28.26,-0.4132,152.3,84.2,60,563.9,425.6,586.2,176.9,4.2748,1379.32,125.6,101.6766,18.93,88.1,953.8
8/31/2012,0.89,2813001,371,28.825,-0.487573,144.5,81.4,58.9,540,414.4,566.4,170.8,4.0098,1406.58,132.7,100.797,17.47,96.5,906.1
10/31/2012,0.83,2823137,364,15.275,-0.595074,112.8,64.7,49,501.9,380.9,531.9,136.8,2.47589,1412.16,140.8,98.9535,18.6,86.2,847.2
11/30/2012,0.83,2851362,375,15.05,-0.622914,123.2,76.4,61.2,504.1,369.2,533.7,148.6,2.43557,1416.18,136.8,99.583,15.87,88.9,842.4
12/31/2012,0.87,2907300,362,14.6,-0.651042,116.1,74.7,59.7,473.1,354.5,499.9,140.7,2.59297,1426.19,150.9,99.0173,18.02,91.8,781.2
1/31/2013,0.86,3008704,364,15.8,-0.694872,112,74.4,59,450.7,326.8,468.9,136.4,2.22006,1498.11,172.2,98.9353,14.28,97.5,720.9
2/28/2013,0.84,3090600,338,13.71,-0.706972,111.2,73.6,58.3,456.4,324.1,465.7,136.3,1.95858,1514.68,164,99.7569,15.51,92,699.3
4/30/2013,0.83,3318649,330,12.31,-0.759541,111.1,73.7,61.2,413.8,305.1,422.9,134,1.68115,1597.57,146.4,100.2646,13.52,93.5,604.6
5/31/2013,0.82,3385128,347,16.525,-0.732127,110.3,73.4,61,421.2,310.1,433,132.4,1.64221,1630.74,183.4,100.6962,16.3,92,637
7/31/2013,0.77,3571797,333,17.56,-0.723475,114.5,74.5,65.6,434.2,321.9,442.9,137.6,1.87979,1685.73,226.6,102.0797,13.45,105,642.3
9/30/2013,0.77,3734018,320,16.885,-0.747605,116.2,77.9,73.3,439.3,326.8,454.6,140.3,1.99264,1681.55,229.2,101.7617,16.6,102.3,659
10/31/2013,0.76,3843396,346,15.2,-0.834885,105.5,73.2,70.9,392.5,293.4,409,130.5,1.60469,1756.54,224.8,100.7445,13.75,96.4,609
12/31/2013,0.74,4032575,335,15.61,-0.872657,90.5,63.5,59.9,354.8,299.3,387.8,113.4,1.37634,1848.36,264.7,101.8164,13.72,98.4,577.7
1/31/2014,0.91,4102138,333,16.66,-0.863145,92.8,61.7,60.3,383.3,288.2,400,115.3,1.39427,1782.59,231.5,102.7873,18.41,97.5,605.2
2/28/2014,0.9,4159972,320,16.565,-0.899888,87.3,58.7,57.7,344,249.3,358.9,108.5,1.46288,1859.45,232.9,103.0426,14,102.6,539.6
3/31/2014,0.9,4226971,331,15.06,-0.878669,85.7,57.1,56,336.6,246,350.8,104.9,0.96175,1872.34,229.9,102.9621,13.88,101.6,511.9
4/30/2014,1,4296049,343,13.335,-0.898447,84.1,55.8,50.8,333.1,244.1,333.8,101.4,1.27532,1883.95,223.5,102.5691,13.41,99.7,500.4
6/30/2014,1.01,4368348,310,13.07,-0.939079,83.7,57.5,53.2,330,239.6,333.7,99.1,1.08244,1960.23,207.2,102.388,11.57,105.4,519.4
7/31/2014,1.01,4406637,302,14.91,-0.907888,82.2,56.6,51.4,378.1,272.5,380.7,98,0.64057,1930.67,202.9,102.1436,16.95,98.2,595.1
9/30/2014,1,4459050,292,14.51,-0.848181,94.3,64.1,57.8,420.5,299.9,422,110.7,0.73129,1972.29,192.1,104.6024,16.31,91.2,667.8
10/31/2014,0.97,4486754,280,14.21,-0.814054,98.6,67.5,63,413,277.2,411,117,1.31158,2018.05,184.3,105.9493,14.03,80.5,687.2
12/31/2014,1.02,4497660,288,13.56,-0.718819,106.3,72.9,65.5,484.3,324.1,474.6,130.2,2.43293,2058.9,150.6,110.3957,19.2,53.3,812
3/31/2015,1.26,4480603,268,16.075,-0.76891,103.9,72.1,74,475,310.4,458.2,129.1,2.82163,2067.89,136.7,116.2852,15.29,47.6,810.7
4/30/2015,1.4,4471499,269,15.875,-0.79231,103.1,71.4,70.3,439.4,296.7,430.3,127.3,4.16148,2085.51,146.4,115.0775,14.55,59.6,769.7
6/30/2015,1.35,4495055,278,15.32,-0.783272,117.5,85.4,84.1,473.1,323.3,462.1,144.1,2.33022,2063.11,170.9,115.1323,18.23,59.5,816.1
7/31/2015,1.35,4485480,271,17.86,-0.76618,122.1,90.8,87.2,498.3,340.8,504.3,152.2,3.14206,2103.84,151.8,117.1636,12.12,47.1,879.4
8/31/2015,1.33,4475105,279,18.9,-0.64756,128.3,96.6,91.5,547.6,374.8,540.3,162.6,5.28653,1972.18,148,119.4261,28.43,49.2,964.1
9/30/2015,1.33,4484111,276,18.5,-0.646669,130.6,97.6,89.7,634.3,445.5,624,167.8,6.81775,1920.03,140.7,120.3613,24.5,45.1,1055.6
12/31/2015,1.62,4486587,279,37.27,-0.601681,122.1,85.1,76.4,635.4,432.3,651.6,164.6,9.90141,2043.94,122,122.3758,18.21,37,1327.6
2/28/2017,2.03,4468702,227,29.4,-0.776604,93.1,69,71.4,345.9,248.6,363.2,114.2,2.78,2363.64,112.9,125.7805,12.92,54.01,668.8
3/31/2017,2.03,4469618,235,35.956,-0.763282,95.8,71.4,73.3,374.9,252.1,382.8,117.4,1.26,2362.72,113.2,125.259,12.37,50.6,691.8
5/31/2017,2.17,4470852,255,30,-0.861993,91.6,67.9,68.8,351.3,236.5,363.1,112.1,2.31,2411.8,92,123.01,10.41,48.32,661.8
6/30/2017,2.15,4463347,250,25.917,-0.89254,86.7,65.8,64.5,360.7,227,364.4,107.9,2.06,2423.41,92.1,122.2664,11.18,46.04,679.9
7/31/2017,2.15,4465284,241,16.056,-0.942889,80.2,60,59.8,347.4,216.6,351.8,101.1,2.78,2470.3,94.3,120.6674,10.26,50.17,649.1
8/31/2017,2.12,4452360,236,15.778,-0.870314,86.8,64.7,66.4,370.4,232,377.8,109.6,2.31,2471.65,79,119.2846,10.59,47.23,698.7
10/31/2017,2.08,4461117,229,23.122,-0.911669,73.9,53.8,54.9,328.2,202.3,337.6,94.6,2.84,2575.26,77.8,120.2367,10.18,54.38,636.8
11/30/2017,2.08,4438592,238,32.738,-0.9362596,75,55.8,55.3,347.8,202,344.3,96.5,2.72,2647.58,62.7,120.2745,11.28,57.4,618
1/31/2018,2.09,4441317,230,33.777,-0.935893,67.7,46.2,49.8,315.8,189.9,318.8,85.6,3.29,2823.81,56.3,117.2182,13.54,64.73,579.9
2/28/2018,2.07,4393401,217,59.719,-0.7886725,78.2,55,54.1,329.8,211.1,336.2,94.9,2.93,2713.83,61,117.575,19.85,61.64,594.6
3/31/2018,2.08,4392198,242,80.17,-0.7560322,90,63.9,62.5,363.6,237,354.2,107.9,3.07,2640.87,47.2,118.115,19.97,64.94,643.5
4/30/2018,2.04,4372886,211,67.294,-0.7856662,87.7,59.5,61.7,342.6,219.5,337.6,106.7,3.1,2648.05,46.41,119.4855,15.49,68.57,634.3
5/31/2018,2.06,4327519,221,62.125,-0.8474433,93.8,62.8,63,370.8,247.8,362.4,113.4,3.11,2705.27,43,121.4559,15.43,67.04,639.9
6/30/2018,2.05,4305491,231,51.575,-0.8126169,101.2,70.3,66.7,371.7,253.2,362.7,122.1,2.86,2718.37,33.1,123.4495,16.09,74.15,598.3
7/31/2018,2.01,4277681,218,43.856,-0.8355122,88.2,59.4,56,349.8,226.3,336.1,108.1,2.42,2816.29,29,124.0853,12.83,68.76,553.6
8/31/2018,1.99,4218914,203,41.075,-0.8716132,92.3,60,62.2,335.1,221.2,337.7,112.6,2.09,2901.52,23.3,125.334,12.86,69.8,610.7
9/30/2018,1.92,4192909,207,44.838,-0.8797358,85.7,55,56.9,312.3,205.9,316,104.6,2.42,2913.98,24.1,126.0393,12.12,73.25,583.7
10/31/2018,1.91,4139731,214,36.85,-0.8372701,95.5,64,65.1,372.2,247.5,371.4,117.1,2.16,2711.74,27.5,128.3622,21.23,65.31,693
11/30/2018,1.93,4097170,234,53.61,-0.8079697,113.1,74.9,70,415.8,275.3,418,136.5,2.79,2760.17,20.2,128.6426,18.07,50.93,809.2
